Country,Type,scenario_change,Change_Needed_2030,Change_Needed_2050
Congo; Dem. Republic of the,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Congo; Dem. Republic of the,Sanitation,Full sanitation access in 2050,4.32,no extra increase needed
Ethiopia,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Ethiopia,Sanitation,Full sanitation access in 2050,4.28,no extra increase needed
Ghana,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Ghana,Sanitation,Full sanitation access in 2050,4.35,1.0
Guatemala,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Guatemala,Sanitation,Full sanitation access in 2050,4.29,no extra increase needed
Haiti,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Haiti,Sanitation,Full sanitation access in 2050,4.16,no extra increase needed
India,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
India,Sanitation,Full sanitation access in 2050,4.36,1.01
Indonesia,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Indonesia,Sanitation,Full sanitation access in 2050,4.34,1.0
Kenya,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Kenya,Sanitation,Full sanitation access in 2050,4.39,1.01
Liberia,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Liberia,Sanitation,Full sanitation access in 2050,4.32,no extra increase needed
Madagascar,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Madagascar,Sanitation,Full sanitation access in 2050,4.28,no extra increase needed
Malawi,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Malawi,Sanitation,Full sanitation access in 2050,4.32,no extra increase needed
Mali,Sanitation,Full sanitation access in 2030,1.01,no extra increase needed
Mali,Sanitation,Full sanitation access in 2050,4.4,1.02
Mozambique,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Mozambique,Sanitation,Full sanitation access in 2050,4.33,no extra increase needed
Nepal,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Nepal,Sanitation,Full sanitation access in 2050,4.2,no extra increase needed
Nigeria,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Nigeria,Sanitation,Full sanitation access in 2050,4.26,no extra increase needed
Philippines,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Philippines,Sanitation,Full sanitation access in 2050,4.41,1.02
Rwanda,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Rwanda,Sanitation,Full sanitation access in 2050,4.37,1.01
Senegal,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Senegal,Sanitation,Full sanitation access in 2050,4.33,no extra increase needed
Sudan South,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Sudan South,Sanitation,Full sanitation access in 2050,4.32,no extra increase needed
Tanzania,Sanitation,Full sanitation access in 2030,no extra increase needed,no extra increase needed
Tanzania,Sanitation,Full sanitation access in 2050,4.22,no extra increase needed
Uganda,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Uganda,Sanitation,Full sanitation access in 2050,4.31,no extra increase needed
Zambia,Sanitation,Full sanitation access in 2030,1.0,no extra increase needed
Zambia,Sanitation,Full sanitation access in 2050,4.36,1.01
Congo; Dem. Republic of the,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Congo; Dem. Republic of the,Water,Full water access in 2050,4.14,no extra increase needed
Ethiopia,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Ethiopia,Water,Full water access in 2050,4.16,no extra increase needed
Ghana,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Ghana,Water,Full water access in 2050,3.93,no extra increase needed
Guatemala,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Guatemala,Water,Full water access in 2050,4.21,no extra increase needed
Haiti,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Haiti,Water,Full water access in 2050,3.71,no extra increase needed
India,Water,Full water access in 2030,no extra increase needed,no extra increase needed
India,Water,Full water access in 2050,3.72,no extra increase needed
Indonesia,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Indonesia,Water,Full water access in 2050,3.8,no extra increase needed
Kenya,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Kenya,Water,Full water access in 2050,4.13,no extra increase needed
Liberia,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Liberia,Water,Full water access in 2050,4.25,no extra increase needed
Madagascar,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Madagascar,Water,Full water access in 2050,4.1,no extra increase needed
Malawi,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Malawi,Water,Full water access in 2050,4.21,no extra increase needed
Mali,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Mali,Water,Full water access in 2050,3.94,no extra increase needed
Mozambique,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Mozambique,Water,Full water access in 2050,4.11,no extra increase needed
Nepal,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Nepal,Water,Full water access in 2050,4.03,no extra increase needed
Nigeria,Water,Full water access in 2030,no extra increase needed,no extra increase needed
Nigeria,Water,Full water access in 2050,4.31,no extra increase needed
