,DEATHCAT[1],DEATHCAT[5],DEATHCAT[6],DEATHCAT[7],DEATHCAT[8],DEATHCAT[9],DEATHCAT[10],DEATHCAT[11],DEATHCAT[12],DEATHCAT[13],DEATHCAT[14],DEATHCAT[15],DEATHCAT[16],DEATHCAT[17],DEATHCAT[18],DEATHCAT[19],DEATHCAT[20],DEATHCAT[21],DEATHCAT[22],DEATHCAT[23]
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People,Mil People
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2019,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56,          17.56
 2020,          18.02,          18.00,          18.01,          18.01,          18.01,          17.99,          18.02,          18.02,          18.02,          18.02,          18.02,          18.01,          18.02,          18.02,          18.02,          18.02,          18.02,          18.02,          18.02,          18.01
 2021,          18.19,          18.09,          18.16,          18.16,          18.18,          18.06,          18.22,          18.20,          18.20,          18.19,          18.19,          18.14,          18.20,          18.20,          18.20,          18.19,          18.19,          18.19,          18.19,          18.18
 2022,          18.40,          18.23,          18.34,          18.35,          18.38,          18.18,          18.46,          18.41,          18.41,          18.40,          18.39,          18.32,          18.41,          18.41,          18.42,          18.40,          18.40,          18.40,          18.40,          18.38
 2023,          18.67,          18.43,          18.59,          18.59,          18.64,          18.37,          18.75,          18.67,          18.68,          18.66,          18.65,          18.56,          18.68,          18.68,          18.69,          18.67,          18.67,          18.67,          18.66,          18.64
