,MALNCHP[1],MALNCHP[5],MALNCHP[6],MALNCHP[7],MALNCHP[8],MALNCHP[9],MALNCHP[10],MALNCHP[11],MALNCHP[12],MALNCHP[13],MALNCHP[14],MALNCHP[15],MALNCHP[16],MALNCHP[17],MALNCHP[18],MALNCHP[19],MALNCHP[20],MALNCHP[21],MALNCHP[22],MALNCHP[23]
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2019,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32,          24.32
 2020,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16,          24.16
 2021,          23.77,          22.64,          23.31,          23.48,          23.63,          22.35,          24.09,          23.80,          23.83,          23.74,          23.70,          23.22,          24.00,          23.58,          23.83,          23.77,          23.78,          23.76,          23.75,          23.66
 2022,          23.02,          21.06,          22.36,          22.51,          22.82,          20.59,          23.66,          23.08,          23.14,          22.96,          22.91,          22.01,          23.51,          22.82,          23.15,          23.03,          23.05,          23.01,          23.00,          22.84
 2023,          21.97,          19.32,          21.12,          21.30,          21.74,          18.75,          22.92,          22.05,          22.13,          21.88,          21.80,          20.62,          22.75,          21.60,          22.15,          21.98,          22.00,          21.95,          21.93,          21.73
 2024,          21.11,          17.83,          20.04,          20.28,          20.84,          17.16,          22.35,          21.21,          21.32,          21.00,          20.89,          19.50,          22.12,          20.54,          21.34,          21.12,          21.14,          21.08,          21.06,          20.81
 2025,          20.21,          16.42,          18.95,          19.25,          19.90,          15.69,          21.75,          20.33,          20.46,          20.08,          19.96,          18.43,          21.54,          19.50,          20.50,          20.23,          20.26,          20.18,          20.16,          19.90
 2026,          19.47,          15.21,          18.03,          18.38,          19.13,          14.43,          21.30,          19.61,          19.76,          19.33,          19.20,          17.58,          21.15,          18.61,          19.82,          19.50,          19.53,          19.44,          19.42,          19.15
 2027,          18.80,          14.13,          17.19,          17.59,          18.41,          13.32,          20.54,          18.94,          19.08,          18.67,          18.55,          16.99,          20.52,          17.80,          19.15,          18.83,          18.86,          18.78,          18.76,          18.51
 2028,          18.17,          13.17,          16.40,          16.83,          17.74,          12.34,          19.82,          18.30,          18.43,          18.04,          17.92,          16.44,          19.89,          17.09,          18.50,          18.19,          18.22,          18.14,          18.12,          17.88
 2029,          17.56,          12.30,          15.67,          16.12,          17.09,          11.46,          19.15,          17.69,          17.82,          17.44,          17.32,          15.91,          19.24,          16.45,          17.88,          17.58,          17.61,          17.54,          17.52,          17.28
 2030,          16.97,          11.51,          14.97,          15.43,          16.47,          10.67,          18.49,          17.09,          17.21,          16.85,          16.74,          15.39,          18.60,          15.86,          17.27,          16.99,          17.02,          16.95,          16.93,          16.69
 2031,          16.39,          10.78,          14.30,          14.77,          15.86,          9.961,          17.85,          16.50,          16.62,          16.27,          16.17,          14.87,          17.95,          15.30,          16.68,          16.41,          16.43,          16.36,          16.34,          16.12
 2032,          15.82,          10.49,          13.66,          14.26,          15.27,          9.713,          17.22,          15.93,          16.05,          15.72,          15.61,          14.37,          17.33,          14.76,          16.11,          15.84,          15.87,          15.80,          15.78,          15.56
 2033,          15.29,          10.22,          13.06,          13.80,          14.72,          9.480,          16.64,          15.40,          15.51,          15.19,          15.09,          13.90,          16.74,          14.26,          15.57,          15.31,          15.33,          15.27,          15.25,          15.03
 2034,          14.79,          9.961,          12.50,          13.36,          14.19,          9.255,          16.09,          14.89,          15.00,          14.69,          14.59,          13.44,          16.19,          13.79,          15.06,          14.81,          14.83,          14.77,          14.75,          14.53
 2035,          14.31,          9.719,          11.99,          12.95,          13.70,          9.046,          15.57,          14.41,          14.51,          14.21,          14.12,          13.02,          15.66,          13.34,          14.57,          14.33,          14.35,          14.29,          14.27,          14.06
 2036,          13.86,          9.491,          11.51,          12.56,          13.24,          8.851,          15.07,          13.95,          14.05,          13.76,          13.68,          12.62,          15.16,          12.92,          14.12,          13.88,          13.90,          13.84,          13.82,          13.61
 2037,          13.43,          9.277,          11.07,          12.18,          12.80,          8.669,          14.60,          13.52,          13.61,          13.34,          13.25,          12.24,          14.69,          12.52,          13.68,          13.44,          13.46,          13.41,          13.39,          13.18
 2038,          13.01,          9.076,          10.65,          11.83,          12.38,          8.498,          14.14,          13.10,          13.19,          12.92,          12.84,          11.87,          14.23,          12.14,          13.26,          13.03,          13.05,          12.99,          12.98,          12.77
 2039,          12.61,          8.879,          10.26,          11.48,          11.97,          8.331,          13.70,          12.69,          12.78,          12.53,          12.45,          11.52,          13.80,          11.77,          12.85,          12.63,          12.65,          12.59,          12.57,          12.37
 2040,          12.22,          8.687,          9.882,          11.15,          11.58,          8.167,          13.27,          12.30,          12.38,          12.14,          12.06,          11.18,          13.37,          11.42,          12.46,          12.24,          12.25,          12.20,          12.18,          11.99
 2041,          11.84,          8.499,          9.525,          10.82,          11.20,          8.006,          12.85,          11.92,          12.00,          11.76,          11.69,          10.84,          12.95,          11.07,          12.07,          11.86,          11.87,          11.82,          11.80,          11.61
