,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt,SanitALBPcnt
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,,,,,,,,,,,,,,,,,,,,
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent,Percent
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2019,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75,          58.75
 2020,          58.39,          62.30,          59.93,          58.33,          58.37,          62.30,          57.23,          58.28,          58.17,          58.50,          58.61,          60.35,          58.08,          58.93,          58.40,          58.39,          58.39,          58.39,          58.39,          58.37
 2021,          58.47,          65.56,          60.75,          58.42,          58.45,          65.53,          56.10,          58.25,          58.03,          58.68,          58.90,          62.32,          57.75,          59.11,          58.49,          58.47,          58.47,          58.46,          58.46,          58.43
 2022,          59.80,          69.97,          62.86,          59.76,          59.80,          69.95,          56.11,          59.48,          59.14,          60.12,          60.44,          65.20,          58.67,          61.02,          59.84,          59.80,          59.81,          59.80,          59.80,          59.77
 2023,          60.70,          74.09,          64.70,          60.66,          60.69,          74.06,          55.64,          60.27,          59.82,          61.13,          61.54,          67.36,          59.29,          62.63,          60.74,          60.70,          60.71,          60.70,          60.70,          60.68
 2024,          61.69,          78.19,          66.64,          61.64,          61.69,          78.16,          55.21,          61.16,          60.60,          62.21,          62.71,          69.38,          59.81,          64.30,          61.73,          61.69,          61.70,          61.69,          61.69,          61.69
 2025,          62.48,          82.09,          68.37,          62.43,          62.48,          82.09,          54.51,          61.86,          61.20,          63.09,          63.68,          70.99,          60.15,          65.84,          62.53,          62.49,          62.49,          62.48,          62.48,          62.48
 2026,          63.15,          85.88,          69.98,          63.10,          63.15,          85.87,          55.31,          62.53,          61.87,          63.75,          64.33,          71.55,          60.73,          67.22,          63.16,          63.15,          63.16,          63.15,          63.15,          63.15
 2027,          63.80,          89.54,          71.55,          63.79,          63.81,          89.54,          56.04,          63.18,          62.54,          64.40,          64.97,          72.08,          61.31,          68.34,          63.80,          63.80,          63.80,          63.80,          63.80,          63.81
 2028,          64.44,          93.10,          73.07,          64.46,          64.46,          93.10,          56.74,          63.83,          63.18,          65.03,          65.60,          72.61,          61.90,          69.30,          64.43,          64.44,          64.44,          64.44,          64.44,          64.46
 2029,          65.13,          96.59,          74.58,          65.16,          65.16,          96.59,          57.49,          64.52,          63.88,          65.71,          66.28,          73.18,          62.55,          70.13,          65.11,          65.13,          65.13,          65.13,          65.13,          65.16
 2030,          65.87,          100.0,          76.14,          65.94,          65.91,          100.0,          58.32,          65.27,          64.64,          66.45,          67.01,          73.80,          63.23,          70.91,          65.84,          65.87,          65.87,          65.88,          65.88,          65.91
 2031,          66.62,          100.0,          77.69,          66.82,          66.67,         100.00,          59.14,          66.02,          65.40,          67.19,          67.74,          74.43,          63.93,          71.66,          66.57,          66.61,          66.61,          66.62,          66.63,          66.66
 2032,          67.32,          99.99,          79.18,          67.55,          67.40,         100.00,          59.91,          66.74,          66.12,          67.89,          68.44,          75.04,          64.62,          72.35,          67.26,          67.32,          67.32,          67.33,          67.33,          67.39
 2033,          68.01,          99.99,          80.62,          68.26,          68.12,         100.00,          60.65,          67.42,          66.81,          68.57,          69.12,          75.64,          65.31,          73.02,          67.93,          68.00,          68.00,          68.02,          68.02,          68.09
 2034,          68.68,          99.99,          82.01,          68.95,          68.80,         100.00,          61.37,          68.10,          67.49,          69.24,          69.77,          76.22,          65.99,          73.65,          68.58,          68.67,          68.66,          68.69,          68.69,          68.76
 2035,          69.34,          99.99,          83.35,          69.65,          69.48,         100.00,          62.07,          68.76,          68.16,          69.89,          70.42,          76.79,          66.66,          74.27,          69.22,          69.33,          69.32,          69.35,          69.35,          69.43
 2036,          69.99,          99.99,          84.67,          70.34,          70.15,         100.00,          62.77,          69.42,          68.82,          70.54,          71.06,          77.35,          67.32,          74.88,          69.86,          69.98,          69.97,          70.00,          70.01,          70.10
 2037,          70.65,          99.99,          85.97,          71.03,          70.84,          99.99,          63.48,          70.09,          69.49,          71.20,          71.72,          77.92,          67.99,          75.48,          70.50,          70.64,          70.63,          70.66,          70.67,          70.77
 2038,          71.32,          99.99,          87.24,          71.74,          71.53,          99.99,          64.19,          70.76,          70.18,          71.86,          72.38,          78.50,          68.67,          76.09,          71.16,          71.31,          71.30,          71.33,          71.34,          71.45
 2039,          72.00,          99.99,          88.49,          72.46,          72.24,          99.99,          64.93,          71.45,          70.87,          72.54,          73.05,          79.08,          69.36,          76.70,          71.82,          71.99,          71.98,          72.02,          72.03,          72.15
 2040,          72.71,          99.99,          89.72,          73.21,          72.97,          99.99,          65.68,          72.16,          71.58,          73.23,          73.74,          79.68,          70.07,          77.30,          72.51,          72.69,          72.68,          72.72,          72.73,          72.86
