,WATERHHINVESTMAINT[1],WATERHHINVESTMAINT[5],WATERHHINVESTMAINT[6],WATERHHINVESTMAINT[7],WATERHHINVESTMAINT[8],WATERHHINVESTMAINT[9],WATERHHINVESTMAINT[10],WATERHHINVESTMAINT[11],WATERHHINVESTMAINT[12],WATERHHINVESTMAINT[13],WATERHHINVESTMAINT[14],WATERHHINVESTMAINT[15],WATERHHINVESTMAINT[16],WATERHHINVESTMAINT[17],WATERHHINVESTMAINT[18],WATERHHINVESTMAINT[19],WATERHHINVESTMAINT[20],WATERHHINVESTMAINT[21],WATERHHINVESTMAINT[22],WATERHHINVESTMAINT[23],WATERHHINVESTMAINT[1],WATERHHINVESTMAINT[5],WATERHHINVESTMAINT[6],WATERHHINVESTMAINT[7],WATERHHINVESTMAINT[8],WATERHHINVESTMAINT[9],WATERHHINVESTMAINT[10],WATERHHINVESTMAINT[11],WATERHHINVESTMAINT[12],WATERHHINVESTMAINT[13],WATERHHINVESTMAINT[14],WATERHHINVESTMAINT[15],WATERHHINVESTMAINT[16],WATERHHINVESTMAINT[17],WATERHHINVESTMAINT[18],WATERHHINVESTMAINT[19],WATERHHINVESTMAINT[20],WATERHHINVESTMAINT[21],WATERHHINVESTMAINT[22],WATERHHINVESTMAINT[23]
,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024,WHHS_April2024
,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,Basic,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged,SafelyManaged
,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $,Billion $
,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x,Base,FullSan_2030,FullSan_2050,FullWat_2030,FullWat_2050,FullWatSan_2,SanInc_0_5x,SanInc_0_95x,SanInc_0_9x,SanInc_1_05x,SanInc_1_1x,SanInc_2x,SanitSpend_0,SanitSpend_2,WatInc_0_5x,WatInc_0_95x,WatInc_0_9x,WatInc_1_05x,WatInc_1_1x,WatInc_2x
 2019,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          1.184,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478,          5.478
 2020,          1.105,          1.111,          1.111,          1.111,          1.111,          1.111,          1.109,          1.106,          1.106,          1.107,          1.108,          1.111,          1.037,          1.111,          1.109,          1.106,          1.106,          1.107,          1.108,          1.111,          5.052,          5.070,          5.070,          5.070,          5.070,          5.070,          5.062,          5.054,          5.056,          5.057,          5.060,          5.070,          4.754,          5.070,          5.064,          5.054,          5.057,          5.058,          5.061,          5.070
 2021,          1.207,          1.211,          1.211,          1.083,          1.152,          1.083,          1.210,          1.208,          1.209,          1.209,          1.209,          1.211,          1.056,          1.203,          1.255,          1.212,          1.217,          1.204,          1.201,          1.132,          5.404,          5.408,          5.410,          5.849,          5.609,          5.846,          5.412,          5.406,          5.409,          5.409,          5.412,          5.409,          4.765,          5.441,          5.277,          5.393,          5.382,          5.421,          5.436,          5.639
 2022,          1.239,          1.249,          1.244,          1.012,          1.154,          1.014,          1.247,          1.241,          1.242,          1.242,          1.243,          1.249,          1.002,          1.235,          1.343,          1.249,          1.259,          1.232,          1.225,          1.102,          5.815,          5.837,          5.825,          6.648,          6.128,          6.649,          5.847,          5.819,          5.824,          5.821,          5.825,          5.837,          4.715,          5.884,          5.540,          5.789,          5.763,          5.846,          5.876,          6.241
 2023,          1.257,          1.276,          1.270,          0.947,          1.170,          0.949,          1.274,          1.258,          1.261,          1.261,          1.264,          1.269,          0.924,          1.254,          1.432,          1.271,          1.287,          1.246,          1.235,          1.070,          6.278,          6.327,          6.310,          7.472,          6.648,          7.476,          6.334,          6.283,          6.290,          6.287,          6.294,          6.298,          4.618,          6.411,          5.835,          6.237,          6.198,          6.326,          6.372,          6.895
