Country,Indicator,Scenario,Type,ProgressRate,Scenario_type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,Year_filter
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",Base,Sanitation,0.98,Base,16.11,15.97,17.05,19.3,20.55,20.82,21.28,22.22,23.32,24.55,25.92,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.66,ALB,23.43,31.12,38.8,46.48,54.14,61.8,69.45,77.1,84.74,92.38,100.0,2030
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,7.66,SM,23.45,30.94,38.83,47.09,54.87,62.36,69.91,77.53,85.1,92.61,100.0,2030
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.74,ALB,18.49,21.25,23.99,26.63,29.48,32.23,34.97,37.71,40.44,43.16,45.87,2050
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.94,SM,18.5,21.05,24.03,27.47,30.61,33.24,35.95,38.88,41.83,44.84,47.88,2050
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",doubling,Sanitation,1.32,ALB,16.11,33.56,17.05,59.03,20.57,29.95,21.64,60.31,23.3,61.33,29.3,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.07,SM,17.93,19.58,22.59,26.94,30.19,32.24,32.88,34.12,35.51,37.01,38.64,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",halving,Sanitation,0.81,ALB,15.94,15.64,16.52,18.45,19.3,19.34,19.8,20.66,21.66,22.76,23.99,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",halving,Sanitation,0.22,SM,15.18,14.04,14.02,14.96,14.68,13.52,13.81,14.49,15.32,16.27,17.37,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,1.79,ALB,17.11,17.8,19.97,24.09,26.86,28.02,28.47,29.77,31.32,33.07,35.04,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,3.3,SM,21.37,25.93,31.69,38.78,43.79,47.39,48.13,49.54,51.05,52.66,54.34,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",six-fold,Sanitation,2.17,ALB,17.76,18.93,21.66,26.83,30.16,31.66,32.1,33.55,35.28,37.24,39.44,
Democratic Republic of the Congo,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.43,SM,24.52,31.35,38.86,47.2,52.94,55.96,56.47,57.27,57.73,58.25,58.85,
Democratic Republic of the Congo,"Water Services, Access, percent of population",Base,Water,0.97,Base,45.45,45.62,46.71,48.56,50.11,50.46,50.92,51.79,52.85,53.99,55.2,
Democratic Republic of the Congo,"Water Services, Access, percent of population",Full water access in 2030,Water,4.95,ALB,50.27,55.43,60.55,64.93,70.66,75.67,80.62,85.52,90.33,95.09,99.81,2030
Democratic Republic of the Congo,"Water Services, Access, percent of population",Full water access in 2030,Water,4.95,SM,50.49,55.46,61.01,66.85,72.21,76.96,81.71,86.49,91.15,95.66,100.0,2030
Democratic Republic of the Congo,"Water Services, Access, percent of population",Full water access in 2050,Water,1.89,ALB,46.91,49.04,51.0,52.48,54.72,56.73,58.55,60.34,62.22,64.05,65.85,2050
Democratic Republic of the Congo,"Water Services, Access, percent of population",Full water access in 2050,Water,2.23,SM,47.3,49.08,51.58,54.35,57.27,59.13,61.07,63.2,65.38,67.53,69.64,2050
Democratic Republic of the Congo,"Water Services, Access, percent of population",doubling,Water,1.74,ALB,47.67,49.59,52.49,56.16,59.12,60.86,61.14,61.94,62.92,63.97,65.07,
Democratic Republic of the Congo,"Water Services, Access, percent of population",doubling,Water,1.36,SM,46.44,47.16,49.0,51.7,53.94,54.85,55.32,56.3,57.46,58.7,60.01,
Democratic Republic of the Congo,"Water Services, Access, percent of population",halving,Water,0.34,ALB,44.48,43.38,43.31,44.01,44.13,43.06,43.47,44.38,45.46,46.61,47.85,
Democratic Republic of the Congo,"Water Services, Access, percent of population",halving,Water,0.63,SM,45.1,44.73,45.36,46.89,47.39,47.06,47.42,48.22,49.18,50.24,51.37,
Democratic Republic of the Congo,"Water Services, Access, percent of population",quadrupling,Water,2.22,ALB,51.4,55.96,60.84,66.2,69.06,71.1,71.34,71.99,72.51,73.06,73.63,
Democratic Republic of the Congo,"Water Services, Access, percent of population",quadrupling,Water,1.51,SM,47.81,49.43,51.95,54.67,56.5,57.37,57.86,58.93,60.19,61.52,62.93,
Democratic Republic of the Congo,"Water Services, Access, percent of population",six-fold,Water,1.9,ALB,54.59,60.85,65.91,70.36,71.18,71.44,71.63,72.0,72.51,73.05,73.63,
Democratic Republic of the Congo,"Water Services, Access, percent of population",six-fold,Water,1.63,SM,48.93,50.8,52.51,55.75,57.95,59.05,59.58,60.77,62.17,63.64,65.18,
Ethiopia,"Sanitation Services, Access, percent of population",Base,Sanitation,1.4,Base,9.34,10.68,12.26,13.91,15.16,16.38,17.68,19.02,20.42,21.84,23.31,
Ethiopia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,8.31,ALB,16.94,25.3,33.64,41.98,50.31,58.62,66.92,75.21,83.49,91.75,100.0,2030
Ethiopia,"Sanitation Services, Access, percent of population",Full sanitation access in 2030,Sanitation,8.3,SM,17.03,26.07,35.01,44.02,52.47,60.69,68.84,76.9,84.79,92.5,100.0,2030
Ethiopia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,2.99,ALB,11.58,14.59,17.62,20.6,23.6,26.59,29.58,32.57,35.55,38.53,41.51,2050
Ethiopia,"Sanitation Services, Access, percent of population",Full sanitation access in 2050,Sanitation,3.58,SM,11.68,15.48,19.28,23.39,26.92,30.29,33.71,37.19,40.65,44.09,47.51,2050
Ethiopia,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.16,ALB,9.34,54.65,12.04,55.74,15.05,33.46,18.9,57.64,20.44,58.72,30.93,
Ethiopia,"Sanitation Services, Access, percent of population",doubling,Sanitation,2.12,SM,10.35,12.74,15.35,18.16,20.68,23.18,24.86,26.49,28.15,29.82,31.5,
Ethiopia,"Sanitation Services, Access, percent of population",halving,Sanitation,0.99,ALB,9.18,10.28,11.45,12.49,13.1,13.62,14.65,15.71,16.8,17.92,19.05,
Ethiopia,"Sanitation Services, Access, percent of population",halving,Sanitation,0.95,SM,8.83,9.64,10.57,11.53,12.0,12.34,13.42,14.57,15.77,17.02,18.31,
Ethiopia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,3.15,ALB,10.29,13.21,16.82,21.83,25.97,29.86,32.1,34.45,36.86,39.32,41.77,
Ethiopia,"Sanitation Services, Access, percent of population",quadrupling,Sanitation,3.11,SM,12.27,16.54,20.89,25.52,29.73,33.83,35.79,37.7,39.61,41.49,43.35,
Ethiopia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.89,ALB,10.9,14.82,19.71,26.37,31.75,36.67,39.24,41.84,44.5,47.17,49.78,
Ethiopia,"Sanitation Services, Access, percent of population",six-fold,Sanitation,3.69,SM,14.08,19.95,25.7,31.49,36.74,41.56,43.54,45.47,47.36,49.19,50.98,
Ethiopia,"Water Services, Access, percent of population",Base,Water,1.07,Base,48.85,50.05,51.31,52.59,53.6,54.56,55.55,56.56,57.57,58.58,59.6,
Ethiopia,"Water Services, Access, percent of population",Full water access in 2030,Water,4.71,ALB,52.85,57.72,62.63,67.37,72.12,76.88,81.58,86.25,90.87,95.45,100.0,2030
Ethiopia,"Water Services, Access, percent of population",Full water access in 2030,Water,4.68,SM,53.17,58.42,63.55,68.61,73.42,78.12,82.72,87.21,91.59,95.85,100.0,2030
Ethiopia,"Water Services, Access, percent of population",Full water access in 2050,Water,1.81,ALB,49.79,51.66,53.61,55.38,57.19,59.03,60.85,62.64,64.4,66.15,67.88,2050
Ethiopia,"Water Services, Access, percent of population",Full water access in 2050,Water,2.08,SM,50.15,52.46,54.81,57.05,59.14,61.21,63.25,65.24,67.2,69.11,71.0,2050
Ethiopia,"Water Services, Access, percent of population",doubling,Water,1.86,ALB,51.67,55.25,58.59,61.64,64.18,66.49,67.24,68.0,68.77,69.53,70.3,
Ethiopia,"Water Services, Access, percent of population",doubling,Water,1.56,SM,49.53,51.38,53.37,55.53,57.4,59.2,60.41,61.62,62.81,63.99,65.16,
Ethiopia,"Water Services, Access, percent of population",halving,Water,0.33,ALB,47.38,46.95,46.6,46.22,45.49,44.65,45.88,47.08,48.29,49.5,50.71,
Ethiopia,"Water Services, Access, percent of population",halving,Water,0.73,SM,48.56,49.36,50.14,50.87,51.27,51.56,52.41,53.26,54.14,55.01,55.88,
